age,job,marital,education,default credit,balance,housing,loan,contact,duration,poutcome,Result
53,retired,married,secondary,no,665,yes,no,cellular,371,unknown,yes
42,technician,married,secondary,no,994,yes,no,cellular,149,failure,yes
45,admin.,married,secondary,no,5346,yes,yes,unknown,187,unknown,yes
31,blue-collar,married,secondary,no,1243,yes,no,unknown,32,unknown,no
32,admin.,married,tertiary,no,0,yes,no,unknown,138,unknown,no
36,blue-collar,married,secondary,no,2357,yes,no,unknown,228,unknown,no
56,retired,married,secondary,no,1044,no,no,telephone,353,unknown,yes
46,admin.,married,secondary,no,1069,yes,no,unknown,45,unknown,no
41,housemaid,single,secondary,no,231,no,no,cellular,76,unknown,no
31,admin.,married,secondary,no,0,yes,yes,unknown,144,unknown,no
32,technician,married,secondary,no,266,yes,no,cellular,168,unknown,no
38,management,married,tertiary,no,-70,yes,no,cellular,140,other,no
49,retired,single,primary,no,25824,no,no,unknown,94,unknown,no
46,management,single,primary,no,538,no,no,unknown,118,unknown,no
29,technician,single,secondary,no,534,yes,no,cellular,382,unknown,no
36,admin.,married,unknown,no,2323,no,no,cellular,111,unknown,no
38,admin.,married,secondary,no,1852,yes,no,cellular,298,unknown,no
53,technician,married,secondary,no,2647,yes,no,unknown,121,unknown,no
43,management,married,tertiary,no,2767,yes,no,unknown,317,unknown,no
41,management,married,tertiary,no,176,yes,yes,unknown,42,unknown,no
42,management,single,secondary,no,9720,no,no,cellular,81,unknown,no
55,blue-collar,divorced,secondary,no,1613,yes,no,cellular,296,failure,yes
39,admin.,divorced,secondary,no,2903,yes,yes,telephone,259,unknown,no
30,admin.,single,secondary,no,81,yes,no,cellular,121,other,no
41,blue-collar,married,secondary,no,780,yes,no,cellular,432,unknown,no
44,unemployed,married,tertiary,no,178,no,no,cellular,126,unknown,no
58,management,married,tertiary,no,299,no,no,cellular,120,unknown,no
35,retired,married,primary,no,285,yes,no,cellular,136,unknown,no
27,blue-collar,married,secondary,no,872,yes,no,cellular,1130,unknown,no
34,services,married,secondary,no,1337,no,no,cellular,330,success,yes
25,services,married,secondary,no,72,yes,no,cellular,305,unknown,no
36,blue-collar,married,secondary,no,0,no,no,unknown,332,unknown,no
38,blue-collar,married,secondary,no,-388,yes,no,unknown,412,unknown,no
30,admin.,married,secondary,no,11,yes,no,cellular,157,unknown,no
47,blue-collar,divorced,secondary,yes,-535,yes,no,cellular,71,unknown,no
41,services,divorced,secondary,no,787,yes,no,cellular,297,unknown,no
36,management,single,tertiary,no,3343,no,no,cellular,307,unknown,no
63,entrepreneur,married,secondary,no,3904,no,no,telephone,250,success,yes
23,management,single,tertiary,no,736,yes,no,cellular,119,unknown,no
32,management,married,tertiary,no,1390,no,no,cellular,116,unknown,no
57,retired,married,primary,no,808,no,no,telephone,274,unknown,no
48,management,married,tertiary,no,1147,no,no,cellular,389,success,yes
49,services,married,secondary,no,1122,no,no,cellular,143,unknown,no
50,technician,married,secondary,no,-568,yes,yes,unknown,860,unknown,no
33,blue-collar,married,primary,no,1165,yes,no,unknown,420,unknown,no
53,services,divorced,secondary,no,-905,yes,no,unknown,213,unknown,no
30,unemployed,married,tertiary,no,0,yes,no,cellular,756,unknown,no
38,technician,married,secondary,no,740,no,no,cellular,259,unknown,no
44,management,married,secondary,no,8262,yes,no,cellular,201,unknown,no
39,admin.,single,secondary,no,14,yes,yes,unknown,19,unknown,no
45,technician,single,unknown,no,7108,yes,yes,cellular,53,failure,no
36,blue-collar,married,secondary,no,1049,yes,no,cellular,224,unknown,yes
38,blue-collar,married,secondary,no,0,yes,no,cellular,57,other,no
36,housemaid,married,secondary,no,419,yes,no,unknown,251,unknown,no
30,management,single,tertiary,no,726,yes,no,cellular,39,failure,no
28,technician,divorced,tertiary,no,594,yes,yes,unknown,54,unknown,no
26,unemployed,married,tertiary,no,454,yes,yes,unknown,28,unknown,no
54,unknown,married,secondary,no,2206,no,no,cellular,104,other,yes
38,admin.,married,tertiary,no,1988,no,no,cellular,164,failure,yes
32,technician,single,tertiary,no,0,no,no,cellular,268,unknown,no
50,admin.,divorced,secondary,no,202,no,yes,cellular,148,unknown,no
43,blue-collar,married,secondary,no,667,yes,no,unknown,228,unknown,no
48,admin.,married,secondary,no,112,no,no,cellular,139,unknown,no
57,housemaid,married,primary,no,50,no,no,cellular,89,unknown,no
64,housemaid,married,primary,no,768,no,no,cellular,250,success,no
26,services,divorced,secondary,no,74,yes,no,unknown,106,unknown,no
33,blue-collar,married,secondary,no,661,yes,no,cellular,968,unknown,yes
50,self-employed,married,secondary,no,3025,no,yes,cellular,168,unknown,no
47,self-employed,married,tertiary,no,751,no,no,cellular,408,unknown,no
39,management,single,tertiary,no,416,no,no,cellular,56,unknown,no
52,services,married,primary,no,14,no,yes,cellular,55,unknown,no
31,blue-collar,single,primary,no,-502,yes,no,unknown,76,unknown,no
50,blue-collar,married,primary,no,0,no,no,cellular,72,unknown,no
47,technician,married,secondary,no,599,yes,no,cellular,99,unknown,no
30,management,single,tertiary,no,-218,yes,no,cellular,13,unknown,no
32,technician,single,tertiary,no,1012,no,no,cellular,178,unknown,no
36,technician,married,secondary,no,300,no,no,unknown,287,unknown,no
46,technician,married,tertiary,no,217,yes,no,cellular,141,other,no
45,management,divorced,tertiary,no,2096,no,no,cellular,127,failure,no
37,technician,single,secondary,no,0,no,no,cellular,69,unknown,no
58,housemaid,married,primary,no,5278,yes,no,unknown,763,unknown,no
59,management,married,tertiary,no,1831,no,no,cellular,122,failure,no
28,management,married,tertiary,no,1480,yes,no,cellular,143,unknown,no
48,management,married,tertiary,no,7289,yes,no,cellular,316,unknown,no
55,blue-collar,married,unknown,no,1665,no,no,telephone,89,unknown,no
37,blue-collar,single,primary,no,851,yes,no,cellular,151,failure,no
41,management,married,tertiary,no,2885,no,no,cellular,40,unknown,no
35,blue-collar,married,secondary,no,137,no,yes,unknown,5,failure,no
34,blue-collar,single,secondary,no,1239,yes,no,cellular,90,unknown,no
43,management,single,tertiary,no,146,no,no,cellular,50,other,no
59,technician,married,secondary,no,1,no,no,cellular,159,failure,yes
50,blue-collar,divorced,primary,no,-10,no,yes,cellular,369,unknown,no
37,technician,married,secondary,no,480,no,no,cellular,344,other,yes
35,technician,married,secondary,no,2789,yes,no,cellular,256,failure,no
50,technician,single,secondary,no,3897,no,no,cellular,298,unknown,no
36,technician,divorced,secondary,no,487,no,yes,cellular,268,unknown,no
41,admin.,married,secondary,no,5110,yes,no,cellular,231,unknown,no
28,management,married,tertiary,no,318,yes,no,unknown,4,unknown,no
42,technician,single,tertiary,no,-411,yes,no,cellular,78,failure,no
60,retired,married,secondary,no,4820,no,no,unknown,419,unknown,no
28,management,single,tertiary,no,4937,yes,no,telephone,421,unknown,no
48,entrepreneur,married,secondary,no,725,no,yes,cellular,105,unknown,no
51,entrepreneur,married,tertiary,no,5403,no,no,unknown,42,unknown,no
32,technician,married,tertiary,no,4089,no,no,cellular,114,failure,no
35,technician,married,tertiary,no,188,no,no,cellular,286,unknown,no
37,technician,married,unknown,no,189,no,no,cellular,238,success,yes
38,blue-collar,divorced,secondary,no,2998,yes,no,unknown,91,unknown,no
77,retired,married,secondary,no,610,no,no,cellular,766,unknown,no
32,management,single,unknown,no,787,no,no,cellular,92,unknown,no
43,technician,divorced,secondary,no,167,no,no,cellular,211,unknown,no
36,management,single,tertiary,no,243,yes,no,cellular,160,failure,no
29,management,married,tertiary,no,877,no,no,cellular,166,unknown,no
32,admin.,single,secondary,no,2817,yes,no,cellular,195,unknown,no
41,management,divorced,tertiary,no,4567,yes,yes,cellular,106,unknown,no
26,services,single,secondary,no,127,yes,yes,cellular,85,unknown,no
34,blue-collar,married,primary,no,176,no,no,cellular,78,unknown,no
57,retired,married,tertiary,no,0,yes,yes,unknown,648,unknown,yes
36,services,single,secondary,no,1482,yes,no,cellular,177,other,no
42,blue-collar,married,secondary,no,3052,yes,no,unknown,32,unknown,no
35,technician,divorced,secondary,no,56,no,no,cellular,24,unknown,no
52,entrepreneur,divorced,primary,no,278,yes,no,unknown,688,unknown,no
36,management,single,tertiary,no,3875,yes,no,unknown,21,unknown,no
46,technician,married,secondary,no,-337,yes,no,unknown,112,unknown,no
60,management,divorced,tertiary,no,366,no,no,cellular,593,unknown,yes
57,housemaid,married,primary,no,501,yes,yes,cellular,59,unknown,no
48,management,married,tertiary,no,998,yes,no,cellular,121,unknown,no
59,self-employed,married,primary,no,0,yes,no,telephone,97,unknown,no
39,management,married,tertiary,no,246,no,no,cellular,86,unknown,no
44,blue-collar,married,secondary,no,-182,yes,yes,cellular,10,unknown,no
27,management,single,tertiary,no,446,no,no,cellular,205,unknown,no
59,retired,married,secondary,no,1173,no,no,unknown,77,unknown,no
36,technician,divorced,secondary,no,5957,yes,no,cellular,138,unknown,no
44,admin.,married,secondary,no,205,no,no,cellular,289,unknown,yes
50,admin.,married,secondary,no,0,no,no,cellular,86,unknown,no
41,management,divorced,tertiary,no,369,yes,no,telephone,9,unknown,no
47,admin.,married,secondary,no,1934,no,yes,cellular,225,failure,no
32,technician,single,tertiary,no,259,no,no,cellular,407,unknown,no
38,blue-collar,married,secondary,no,284,yes,yes,unknown,1030,unknown,no
55,blue-collar,married,unknown,no,23,no,no,cellular,123,unknown,no
38,management,single,tertiary,no,1373,no,no,cellular,119,unknown,no
31,management,single,tertiary,no,62,yes,no,cellular,175,failure,no
38,blue-collar,divorced,secondary,no,157,no,no,unknown,299,unknown,no
29,unemployed,single,tertiary,no,991,no,no,cellular,563,unknown,no
55,services,married,secondary,no,186,yes,yes,unknown,241,unknown,no
35,unemployed,married,secondary,no,977,yes,no,cellular,52,other,no
40,self-employed,single,tertiary,no,2893,no,no,cellular,76,unknown,no
34,blue-collar,married,secondary,no,1897,yes,yes,cellular,441,unknown,no
32,technician,single,tertiary,no,5514,no,no,cellular,319,success,yes
33,blue-collar,married,secondary,no,889,yes,no,unknown,13,success,no
33,management,married,tertiary,no,273,yes,no,unknown,803,unknown,yes
37,admin.,married,secondary,no,1193,no,no,cellular,396,unknown,no
58,management,married,tertiary,no,2729,no,no,unknown,188,unknown,no
36,admin.,single,secondary,no,0,no,no,cellular,637,unknown,no
42,blue-collar,married,secondary,no,230,yes,no,unknown,175,unknown,no
34,technician,single,secondary,no,2729,yes,no,cellular,945,success,no
35,management,married,tertiary,no,317,yes,no,unknown,162,unknown,no
60,housemaid,married,primary,no,517,no,no,unknown,1178,unknown,no
50,management,married,tertiary,no,-470,yes,no,cellular,506,failure,no
28,self-employed,single,tertiary,no,4579,no,no,cellular,409,unknown,yes
27,blue-collar,divorced,secondary,no,1,yes,no,cellular,116,unknown,no
37,management,married,tertiary,no,5106,no,no,cellular,244,unknown,yes
31,technician,married,tertiary,no,636,yes,no,cellular,352,unknown,yes
34,services,married,secondary,no,1076,no,no,cellular,152,success,yes
38,management,married,tertiary,no,126,yes,no,unknown,164,unknown,no
32,self-employed,married,secondary,no,-33,yes,no,unknown,234,unknown,no
37,technician,married,secondary,no,430,no,no,cellular,154,unknown,no
33,admin.,married,secondary,no,-6,yes,no,unknown,566,unknown,no
71,technician,married,tertiary,no,383,no,no,cellular,327,success,no
27,technician,married,secondary,no,130,yes,no,cellular,265,unknown,no
38,blue-collar,married,primary,no,2569,no,no,unknown,172,unknown,no
34,technician,single,secondary,no,201,no,no,cellular,257,unknown,no
54,retired,divorced,tertiary,no,0,no,no,unknown,618,unknown,yes
30,blue-collar,married,secondary,no,6,yes,no,cellular,241,unknown,no
35,entrepreneur,single,secondary,no,475,no,yes,cellular,936,unknown,no
33,blue-collar,single,secondary,no,706,yes,no,cellular,329,failure,no
36,management,married,secondary,no,1825,yes,no,cellular,24,failure,no
59,self-employed,married,tertiary,no,185,no,no,cellular,177,failure,no
72,blue-collar,married,primary,no,4415,no,no,telephone,120,unknown,no
64,management,married,tertiary,no,679,no,no,telephone,135,unknown,no
53,technician,divorced,secondary,no,320,no,no,cellular,175,unknown,no
35,management,single,tertiary,no,2988,yes,no,cellular,179,unknown,no
58,self-employed,married,secondary,no,1407,yes,no,unknown,58,unknown,no
40,technician,married,secondary,no,1270,no,no,cellular,342,unknown,no
41,services,divorced,secondary,no,654,yes,no,cellular,139,unknown,no
48,retired,married,primary,no,5173,yes,no,unknown,88,unknown,no
44,entrepreneur,married,tertiary,no,3463,yes,yes,cellular,210,unknown,no
39,blue-collar,married,unknown,no,0,no,no,cellular,731,failure,no
61,management,married,tertiary,no,6016,no,no,cellular,670,unknown,yes
36,entrepreneur,married,primary,no,177,yes,no,unknown,63,unknown,no
28,management,married,tertiary,no,3694,no,yes,cellular,70,unknown,no
58,retired,single,secondary,no,1640,no,yes,cellular,72,failure,no
60,admin.,divorced,secondary,no,174,yes,no,cellular,241,failure,no
66,admin.,single,secondary,no,10177,no,no,cellular,272,unknown,no
36,management,single,tertiary,no,490,no,no,cellular,207,failure,yes
49,self-employed,married,secondary,no,2576,yes,no,cellular,64,unknown,no
40,services,married,secondary,no,0,no,no,unknown,543,unknown,no
23,technician,single,secondary,no,598,no,no,cellular,166,unknown,no
29,management,single,tertiary,no,15459,no,no,cellular,245,success,no
44,blue-collar,married,primary,no,271,yes,yes,unknown,94,unknown,no
54,unknown,married,unknown,no,2508,no,no,unknown,34,unknown,no
47,blue-collar,married,primary,no,320,no,no,telephone,203,unknown,no
33,admin.,married,tertiary,no,640,no,no,cellular,318,unknown,no
30,self-employed,married,secondary,no,1772,yes,no,cellular,158,unknown,no
27,admin.,single,secondary,no,15,no,yes,cellular,177,unknown,no
49,management,divorced,tertiary,no,2370,yes,yes,unknown,56,other,no
27,services,single,secondary,no,201,yes,no,unknown,172,unknown,no
51,blue-collar,married,secondary,no,160,yes,no,cellular,136,failure,no
32,admin.,divorced,secondary,yes,5,yes,yes,cellular,82,other,no
30,blue-collar,single,secondary,no,75,yes,no,unknown,123,unknown,no
33,admin.,married,secondary,no,4902,yes,no,cellular,110,unknown,no
27,blue-collar,single,primary,no,-79,yes,no,unknown,385,unknown,no
75,retired,divorced,secondary,no,1341,no,no,cellular,415,unknown,yes
37,services,divorced,secondary,no,490,yes,no,cellular,73,unknown,no
36,technician,single,secondary,no,1521,yes,no,unknown,243,unknown,no
37,blue-collar,married,secondary,no,131,yes,no,unknown,137,unknown,no
35,management,married,tertiary,no,8,yes,no,unknown,55,unknown,no
32,services,married,secondary,no,-632,yes,yes,cellular,18,unknown,no
32,admin.,single,secondary,no,116,no,yes,cellular,255,unknown,no
35,admin.,married,primary,no,189,yes,no,cellular,95,unknown,no
31,blue-collar,married,primary,no,2,yes,yes,cellular,112,unknown,no
28,blue-collar,single,secondary,no,4229,yes,yes,cellular,205,unknown,no
27,services,married,secondary,no,54,yes,no,cellular,97,failure,no
22,student,single,unknown,no,549,no,no,cellular,154,unknown,no
35,blue-collar,married,primary,no,298,yes,no,cellular,135,failure,no
69,retired,married,primary,no,579,no,no,cellular,230,unknown,no
37,entrepreneur,single,tertiary,no,1467,yes,yes,cellular,349,unknown,no
45,admin.,single,secondary,no,0,yes,no,cellular,38,unknown,no
47,management,married,tertiary,no,109,yes,no,cellular,268,unknown,no
52,management,married,tertiary,no,-11,yes,no,cellular,94,unknown,no
33,services,married,secondary,no,90,yes,no,cellular,263,unknown,no
60,blue-collar,married,primary,no,493,no,no,cellular,671,unknown,yes
33,management,divorced,secondary,no,1897,yes,yes,unknown,197,unknown,no
44,admin.,married,secondary,no,2403,yes,no,cellular,180,unknown,no
38,entrepreneur,married,secondary,no,868,no,no,cellular,452,unknown,no
54,entrepreneur,married,secondary,no,653,yes,no,unknown,352,unknown,no
32,unemployed,divorced,primary,no,0,no,no,cellular,175,unknown,no
33,technician,married,secondary,no,0,yes,yes,cellular,163,unknown,no
55,services,divorced,secondary,no,218,yes,no,unknown,200,unknown,no
51,blue-collar,married,primary,no,5050,no,yes,unknown,75,unknown,no
48,blue-collar,married,secondary,no,741,yes,no,cellular,227,unknown,no
37,services,single,secondary,no,1050,yes,no,cellular,586,unknown,no
33,services,single,secondary,no,-56,no,yes,cellular,119,unknown,no
30,blue-collar,married,primary,no,1,yes,yes,telephone,80,unknown,no
43,blue-collar,married,primary,no,-98,yes,yes,cellular,112,other,no
49,technician,married,secondary,no,4667,yes,no,unknown,130,unknown,no
54,unemployed,married,primary,no,541,yes,no,cellular,237,unknown,no
31,unemployed,married,tertiary,no,7744,no,no,cellular,377,unknown,no
54,unknown,married,unknown,no,895,no,no,cellular,335,unknown,yes
36,unemployed,married,secondary,no,-129,yes,no,cellular,121,unknown,no
30,admin.,married,secondary,no,0,no,no,cellular,127,unknown,no
27,technician,single,secondary,no,158,no,no,unknown,650,unknown,yes
30,admin.,married,secondary,no,122,yes,no,unknown,107,unknown,no
30,blue-collar,married,secondary,no,673,yes,no,unknown,610,unknown,no
35,technician,divorced,secondary,no,0,no,no,cellular,124,unknown,no
33,services,divorced,secondary,no,411,yes,no,unknown,216,unknown,no
43,blue-collar,divorced,primary,no,-97,yes,yes,cellular,747,unknown,no
41,blue-collar,married,secondary,no,-217,yes,no,cellular,313,other,no
41,management,divorced,tertiary,no,5037,no,no,cellular,252,other,yes
46,admin.,divorced,secondary,no,2232,no,no,cellular,121,unknown,yes
54,blue-collar,married,secondary,no,-932,yes,no,unknown,799,unknown,no
32,management,married,tertiary,no,913,yes,no,cellular,883,failure,no
30,technician,single,tertiary,no,236,yes,no,unknown,197,unknown,no
40,entrepreneur,married,primary,no,0,yes,no,cellular,271,unknown,no
30,blue-collar,married,primary,no,2581,no,no,unknown,221,unknown,no
27,admin.,married,secondary,no,639,no,yes,cellular,243,unknown,no
41,blue-collar,married,primary,no,849,yes,no,unknown,72,unknown,no
54,services,married,secondary,no,386,yes,no,cellular,155,unknown,no
32,management,single,tertiary,no,1218,yes,no,telephone,70,unknown,no
31,management,married,tertiary,no,2603,yes,no,cellular,280,unknown,yes
42,blue-collar,married,secondary,no,-921,yes,no,unknown,115,unknown,no
48,admin.,married,primary,no,607,no,no,unknown,29,unknown,no
34,blue-collar,married,primary,no,79,yes,no,cellular,406,unknown,no
55,technician,divorced,secondary,no,61,yes,yes,cellular,113,unknown,no
49,technician,married,secondary,no,1091,no,no,telephone,47,unknown,no
46,management,divorced,tertiary,no,743,no,no,unknown,36,unknown,no
47,entrepreneur,married,unknown,no,209,yes,no,unknown,135,unknown,no
24,management,single,tertiary,no,172,no,no,cellular,67,unknown,no
58,entrepreneur,married,secondary,no,2,no,no,unknown,684,unknown,no
32,management,single,tertiary,no,41,no,no,cellular,686,unknown,yes
25,student,single,secondary,no,1116,yes,no,cellular,170,unknown,no
49,blue-collar,married,secondary,no,-55,no,no,unknown,150,unknown,no
59,retired,divorced,secondary,no,5845,no,no,cellular,1060,unknown,yes
30,management,single,tertiary,no,329,yes,no,unknown,122,unknown,no
46,blue-collar,married,secondary,no,494,yes,no,unknown,724,unknown,no
42,management,married,unknown,no,1519,no,no,cellular,230,success,yes
37,entrepreneur,married,tertiary,no,2685,no,no,unknown,187,unknown,no
44,blue-collar,married,primary,no,-14,yes,yes,unknown,179,unknown,no
49,services,married,secondary,no,5673,no,yes,cellular,357,unknown,no
41,blue-collar,married,secondary,no,1459,no,no,unknown,82,unknown,no
48,technician,married,tertiary,no,0,no,no,telephone,176,unknown,no
31,management,married,secondary,no,625,yes,no,cellular,424,failure,no
37,student,married,unknown,no,0,no,no,unknown,115,unknown,no
51,services,married,secondary,no,867,yes,no,cellular,177,failure,no
80,retired,married,secondary,no,8304,no,no,telephone,712,failure,yes
32,management,single,tertiary,no,151,yes,no,unknown,118,unknown,no
48,services,married,primary,yes,-583,yes,no,unknown,25,unknown,no
49,blue-collar,married,tertiary,no,1784,no,no,unknown,753,unknown,no
30,management,married,tertiary,no,3134,yes,no,cellular,124,unknown,no
27,self-employed,single,secondary,no,49,yes,no,cellular,208,unknown,no
34,technician,married,secondary,no,-346,no,no,cellular,136,unknown,no
49,management,married,secondary,no,1623,yes,no,cellular,1081,unknown,yes
48,management,married,tertiary,no,60,no,no,telephone,376,failure,no
40,services,married,secondary,no,17,no,no,cellular,78,unknown,no
38,blue-collar,married,secondary,no,2008,yes,no,cellular,354,unknown,no
46,blue-collar,married,primary,no,91,yes,no,cellular,29,failure,no
41,entrepreneur,married,tertiary,no,171,yes,no,cellular,209,failure,no
28,management,single,tertiary,no,1027,yes,no,cellular,433,unknown,no
51,services,married,unknown,no,5801,yes,no,unknown,147,unknown,no
33,blue-collar,divorced,primary,no,142,yes,no,telephone,41,failure,no
26,management,single,tertiary,no,205,no,no,unknown,111,unknown,no
34,admin.,single,secondary,no,852,no,no,cellular,108,unknown,no
27,blue-collar,married,secondary,yes,-584,yes,no,cellular,411,unknown,no
42,self-employed,married,secondary,no,97,no,no,cellular,108,unknown,no
45,admin.,married,secondary,no,204,yes,no,cellular,224,unknown,yes
31,technician,single,secondary,no,628,yes,no,unknown,1083,unknown,no
32,management,single,tertiary,no,311,no,no,unknown,757,unknown,yes
39,blue-collar,married,primary,no,1564,no,no,unknown,57,unknown,no
26,blue-collar,single,secondary,no,856,yes,yes,cellular,95,unknown,no
40,management,single,tertiary,no,1509,no,no,cellular,144,failure,no
52,services,married,secondary,no,-888,no,no,cellular,135,unknown,no
40,technician,single,tertiary,no,226,no,no,cellular,176,unknown,no
48,technician,married,secondary,no,127,no,yes,cellular,524,unknown,no
31,services,married,secondary,no,413,yes,no,unknown,65,unknown,no
27,admin.,married,secondary,no,710,yes,yes,cellular,653,success,yes
47,technician,married,secondary,no,1233,yes,no,unknown,91,other,yes
28,management,single,secondary,no,171,no,no,cellular,93,unknown,yes
40,management,divorced,tertiary,no,69,yes,no,cellular,503,failure,no
34,admin.,married,secondary,no,1499,yes,no,cellular,186,failure,no
29,self-employed,married,tertiary,no,751,yes,no,unknown,121,unknown,no
36,management,married,tertiary,no,61,no,yes,cellular,452,unknown,no
83,retired,married,primary,no,425,no,no,telephone,883,failure,yes
55,services,divorced,primary,no,2923,yes,no,unknown,104,unknown,no
43,management,divorced,tertiary,no,99,no,no,cellular,24,unknown,no
23,student,single,secondary,no,1021,no,no,telephone,79,unknown,no
44,technician,married,tertiary,no,1146,no,no,cellular,178,unknown,no
58,blue-collar,married,primary,no,781,yes,no,cellular,74,unknown,no
29,admin.,single,secondary,no,1448,no,no,cellular,217,other,no
30,management,single,tertiary,no,604,no,yes,cellular,475,unknown,no
29,admin.,single,secondary,no,-194,yes,no,cellular,127,unknown,no
41,technician,married,secondary,no,0,no,no,cellular,101,unknown,no
35,housemaid,married,primary,no,0,yes,no,cellular,340,unknown,no
31,technician,single,secondary,no,1014,yes,no,cellular,158,unknown,no
27,admin.,single,tertiary,no,73,no,no,cellular,242,unknown,no
47,services,married,secondary,no,2597,yes,no,unknown,323,unknown,no
53,self-employed,married,tertiary,no,2627,yes,yes,unknown,18,unknown,no
34,management,married,tertiary,no,1906,yes,no,cellular,68,unknown,no
34,blue-collar,married,primary,no,-319,yes,yes,cellular,134,unknown,no
36,management,married,tertiary,no,-296,yes,no,cellular,113,unknown,no
40,technician,married,secondary,no,169,yes,no,cellular,43,unknown,no
37,self-employed,single,tertiary,no,556,no,no,unknown,200,unknown,no
65,retired,divorced,unknown,no,300,no,no,cellular,245,unknown,no
53,technician,divorced,secondary,no,751,yes,no,unknown,343,unknown,no
28,technician,single,secondary,no,126,no,no,cellular,229,unknown,no
33,technician,divorced,tertiary,no,-386,yes,no,unknown,530,unknown,no
56,blue-collar,married,primary,no,379,no,no,cellular,58,unknown,no
45,self-employed,married,secondary,no,706,no,no,cellular,78,success,no
39,technician,married,secondary,no,9121,no,no,unknown,147,unknown,no
28,management,single,tertiary,no,1466,yes,no,cellular,40,unknown,no
36,blue-collar,married,primary,no,0,yes,no,cellular,618,unknown,no
41,blue-collar,married,primary,no,951,yes,no,cellular,23,unknown,no
46,admin.,married,secondary,no,368,no,no,cellular,293,other,yes
41,blue-collar,married,secondary,no,121,yes,no,cellular,16,other,no
59,services,married,secondary,no,204,no,no,cellular,286,unknown,no
24,admin.,married,secondary,no,299,yes,no,cellular,209,failure,no
34,management,married,tertiary,no,4170,yes,no,unknown,935,unknown,no
40,blue-collar,married,primary,no,-335,yes,no,unknown,260,unknown,no
42,admin.,married,secondary,no,3165,yes,no,unknown,298,unknown,no
50,services,married,secondary,no,254,yes,no,cellular,397,failure,no
25,management,single,tertiary,no,553,yes,no,cellular,113,failure,no
51,services,divorced,secondary,no,518,yes,no,telephone,76,unknown,no
50,management,married,tertiary,no,85,no,yes,cellular,141,unknown,no
37,blue-collar,married,unknown,no,603,yes,no,unknown,773,unknown,no
21,services,single,secondary,no,361,no,no,telephone,329,other,no
52,blue-collar,married,secondary,no,-98,yes,no,unknown,423,unknown,no
55,retired,married,primary,no,4424,no,no,cellular,67,unknown,no
26,technician,single,secondary,no,2610,yes,yes,unknown,626,unknown,no
38,technician,married,tertiary,no,3234,no,no,cellular,578,unknown,yes
32,blue-collar,married,secondary,no,687,yes,no,unknown,61,unknown,no
31,blue-collar,married,secondary,no,631,yes,no,unknown,248,unknown,no
34,technician,single,secondary,no,341,no,yes,cellular,136,failure,no
33,technician,single,tertiary,no,316,no,no,cellular,126,unknown,no
35,technician,married,secondary,no,2,no,no,telephone,653,unknown,no
44,management,married,unknown,no,415,yes,no,telephone,7,unknown,no
48,management,divorced,tertiary,no,507,yes,no,cellular,528,unknown,no
29,blue-collar,married,secondary,no,912,yes,no,cellular,785,unknown,no
50,management,married,tertiary,no,0,no,no,cellular,243,unknown,no
37,blue-collar,married,primary,no,37,yes,no,cellular,24,other,no
44,admin.,single,secondary,no,2524,no,no,unknown,82,unknown,no
36,unemployed,single,tertiary,no,9019,yes,no,unknown,952,unknown,no
49,blue-collar,divorced,unknown,no,39,yes,no,cellular,27,unknown,no
31,blue-collar,married,secondary,no,0,yes,no,unknown,143,unknown,no
49,technician,divorced,secondary,no,265,yes,no,unknown,274,unknown,no
35,blue-collar,single,secondary,no,0,yes,no,cellular,1174,other,yes
57,admin.,divorced,unknown,no,4012,no,no,cellular,915,unknown,no
42,blue-collar,married,primary,no,1520,yes,no,cellular,115,unknown,no
36,blue-collar,divorced,secondary,no,-140,yes,no,unknown,222,unknown,no
75,retired,divorced,primary,no,852,no,no,cellular,341,unknown,no
38,blue-collar,single,secondary,no,578,yes,no,unknown,112,unknown,no
40,blue-collar,married,primary,yes,0,yes,no,unknown,64,unknown,no
38,services,single,secondary,no,2253,yes,no,cellular,937,unknown,yes
34,management,single,tertiary,no,1171,yes,no,cellular,129,unknown,no
29,technician,single,tertiary,no,452,yes,no,cellular,59,unknown,no
28,admin.,married,secondary,no,-97,yes,no,cellular,79,success,no
79,retired,married,secondary,no,4738,no,no,telephone,151,unknown,no
51,admin.,divorced,secondary,no,467,yes,no,unknown,83,unknown,no
32,student,single,tertiary,no,0,no,no,cellular,101,other,no
36,management,married,tertiary,no,495,no,no,cellular,157,success,yes
38,entrepreneur,married,secondary,no,157,no,yes,cellular,57,other,no
49,self-employed,married,secondary,no,358,yes,yes,unknown,176,unknown,no
42,services,married,secondary,no,292,yes,no,cellular,222,unknown,no
43,blue-collar,married,primary,no,7343,yes,no,unknown,217,unknown,no
34,blue-collar,married,secondary,no,-563,yes,no,unknown,252,unknown,no
59,retired,single,secondary,no,351,yes,no,unknown,1063,unknown,yes
35,unknown,married,primary,no,365,no,no,cellular,41,unknown,no
33,blue-collar,single,secondary,no,13494,yes,no,unknown,27,unknown,no
34,admin.,single,secondary,no,846,yes,no,cellular,758,unknown,no
64,retired,married,secondary,no,1574,no,no,telephone,301,unknown,yes
34,entrepreneur,married,tertiary,no,-28,yes,no,cellular,574,unknown,no
77,retired,married,tertiary,no,0,no,no,cellular,847,success,yes
57,retired,married,primary,no,2927,no,yes,telephone,78,unknown,no
